#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#Hispanic
lusitanian;Lusitano;Lusitano;Lusitano;;Lusitano;;;;;;;;;x
septimanian;Septimani;Septimani;Septimani;;Septimani;;;;;;;;;x
hispanic;Hispanus;Hispanus;Hispanus;;Hispanus;;;;;;;;;x
#Italic
apennine;Romano;Romano;Romano;;Romano;;;;;;;;;x
#African
african_romance;African Romance;African Romance;African Romance;;African Romance;;;;;;;;;x
african;Afriganu;Afriganu;Afriganu;;Afriganu;;;;;;;;;x
tangieran;Tingianu;Tingianu;Tingianu;;Tingianu;;;;;;;;;x
egyptian;Egyptian;Egyptian;Egyptian;;Egyptian;;;;;;;;;x
coptic;Remenkhemi;Remenkhemi;Remenkhemi;;Remenkhemi;;;;;;;;;x
#Gallic
gaulish;Gallic;Gallic;Gallic;;Gallic;;;;;;;;;x
gallic;Gaulois;Gaulois;Gaulois;;Gaulois;;;;;;;;;x
brittonic;Brithenig;Brithenig;Brithenig;;Brithenig;;;;;;;;;x
rhaetic;Retic;Retic;Retic;;Retic;;;;;;;;;x
#Eastern Romance
eastern_romance;Eastern Romance;Eastern Romance;Eastern Romance;;Eastern Romance;;;;;;;;;x
#Hellenic
aegyptian;Aegyptoi;Aegyptoi;Aegyptoi;;Aegyptoi;;;;;;;;;x
anatolian;Anatoloi;Anatoloi;Anatoloi;;Anatoloi;;;;;;;;;x
#Northwest Semitic
northwest_semitic;Northwest Semitic;Northwest Semitic;Northwest Semitic;;Northwest Semitic;;;;;;;;;x
aramean;Aramáyé;Aramáyé;Aramáyé;;Aramáyé;;;;;;;;;x
#Israelite
mizrahi;Mizrahi;Mizrahi;Mizrahi;;Mizrahi;;;;;;;;;x
#Iranian
assyrian;Asorig;Asorig;Asorig;;Asorig;;;;;;;;;x
#Germanic
ostrogothic;Gothi;Gothi;Gothi;;Gothi;;;;;;;;;x

#Localized Titles
count_aramean;Ras;Ras;Ras;;Ras;;;;;;;;;x
duke_aramean;Adon;Adon;Adon;;Adon;;;;;;;;;x
king_aramean;Melik;Melik;Melik;;Melik;;;;;;;;;x
