#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTTITLYWS.1001;Dark Clouds;Dark Clouds;Dark Clouds;;Dark Clouds;;;;;;;;;x
EVTDESCYWS.1001;Thick clouds of soot and ash blown from the west lay siege to the open sky, and have obscured the heavenly element over all of Europa and beyond. Sunlight only weakly filters through, casting a pall over the land—even at noon it seems only like evening. To complement the omnipresent gloom, the falling ash has laid a thin blanket over castles, churches, and farms alike. The peasantry take this to be an omen of great and ill import, and unrest fills the countryside as itinerant prophets declare this to be the end of times. The clouds, ominously, show no sign of receding anytime soon.;Clouds of soot and ash blown from the west have obscured the heavenly element all over Europa, and sunlight only weakly filters through. The peasantry take this to be an omen of great and ill import, and unrest fills the countryside. The clouds, ominously, show no sign of receding anytime soon.;Clouds of soot and ash blown from the west have obscured the heavenly element all over Europa, and sunlight only weakly filters through. The peasantry take this to be an omen of great and ill import, and unrest fills the countryside. The clouds, ominously, show no sign of receding anytime soon.;;Clouds of soot and ash blown from the west have obscured the heavenly element all over Europa, and sunlight only weakly filters through. The peasantry take this to be an omen of great and ill import, and unrest fills the countryside. The clouds, ominously, show no sign of receding anytime soon.;;;;;;;;;x
EVTOPTAYWS.1001;Brace yourselves.;Brace yourselves.;Brace yourselves.;;Brace yourselves.;;;;;;;;;x
EVTTITLYWS.1002;Clear Skies;Clear Skies;Clear Skies;;Clear Skies;;;;;;;;;x
EVTDESCYWS.1002;As mysteriously as they appeared the clouds of ash have dissipated, again revealing the heavens to us. While this is a reassuring sign, it is clear that the thankfully-temporary shrouding of the heavenly firmament will have long-lasting consequences for the Earthly kingdoms.;As mysteriously as they appeared the clouds of ash have dissipated, again revealing the heavens to us. While this is a reassuring sign, it is clear that the thankfully-temporary shrouding of the heavenly firmament will have long-lasting consequences for the Earthly kingdoms.;As mysteriously as they appeared the clouds of ash have dissipated, again revealing the heavens to us. While this is a reassuring sign, it is clear that the thankfully-temporary shrouding of the heavenly firmament will have long-lasting consequences for the Earthly kingdoms.;;As mysteriously as they appeared the clouds of ash have dissipated, again revealing the heavens to us. While this is a reassuring sign, it is clear that the thankfully-temporary shrouding of the heavenly firmament will have long-lasting consequences for the Earthly kingdoms.;;;;;;;;;x
EVTOPTAYWS.1002;Have we proven ourselves worthy?;Have we proven ourselves worthy?;Have we proven ourselves worthy?;;Have we proven ourselves worthy?;;;;;;;;;x
EVTTITLYWS.2001;Ash Riots in [Root.GetName];Ash Riots in [Root.GetName];Ash Riots in [Root.GetName];;Ash Riots in [Root.GetName];;;;;;;;;x
EVTDESCYWS.2001;The peasantry has not taken well to the obscuring of the sky, and the failure of our local administrators to assuage the fears of the rabble has lead to [Root.GetName] being overtaken by rioting.;The peasantry has not taken well to the disappearance of the sky, and the failure of our local administrators to assuage the fears of the rabble has lead to $PROVINCENAME$ being overtaken by rioting.;The peasantry has not taken well to the disappearance of the sky, and the failure of our local administrators to assuage the fears of the rabble has lead to $PROVINCENAME$ being overtaken by rioting.;;The peasantry has not taken well to the disappearance of the sky, and the failure of our local administrators to assuage the fears of the rabble has lead to $PROVINCENAME$ being overtaken by rioting.;;;;;;;;;x
EVTOPTAYWS.2001;Fantastic.;Fantastic.;Fantastic.;;Fantastic.;;;;;;;;;x
EVTTITLYWS.2002;Riots Subside;Riots Subside;Riots Subside;;Riots Subside;;;;;;;;;x
EVTDESCYWS.2002;Even with the clouds having receded and the sky again visible, the peasant rabble wasn't satisfied with our assurances that the clouds wouldn't return. Luckily, it seems the passage of time has done what we could not, and [Root.GetName] has pacified itself.;Even with the clouds having receded and the sky again visible, the peasant rabble wasn't satisfied with our assurances that the clouds wouldn't return. Luckily, it seems the passage of time has done what we could not, and [Root.GetName] has pacified itself.;Even with the clouds having receded and the sky again visible, the peasant rabble wasn't satisfied with our assurances that the clouds wouldn't return. Luckily, it seems the passage of time has done what we could not, and [Root.GetName] has pacified itself.;;Even with the clouds having receded and the sky again visible, the peasant rabble wasn't satisfied with our assurances that the clouds wouldn't return. Luckily, it seems the passage of time has done what we could not, and [Root.GetName] has pacified itself.;;;;;;;;;x
