#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

IMPERATOR;Imperator;Imperator;Imperator;;Imperator;;;;;;;;;x
PRINCEPS;Princeps;Princeps;Princeps;;Princeps;;;;;;;;;x
roman_government;Romanesque;Romanesque;Romanesque;;Romanesque;;;;;;;;;x
via_flavia;Via Flavia;Via Flavia;Via Flavia;;Via Flavia;;;;;;;;;x

LOADING_TIP_0;Byzantine control of the Euxine Sea is tenuous at best and dependent upon a web of alliances with less-than-reliable tribes. The Pax Euxina is over.;Byzantine control of the Euxine Sea is tenuous at best and dependent upon a web of alliances with less-than-reliable tribes. The Pax Euxina is over.;Byzantine control of the Euxine Sea is tenuous at best and dependent upon a web of alliances with less-than-reliable tribes. The Pax Euxina is over.;;Byzantine control of the Euxine Sea is tenuous at best and dependent upon a web of alliances with less-than-reliable tribes. The Pax Euxina is over.;;;;;;;;;x
LOADING_TIP_1;The restoration of the Western Roman Empire as a pagan state shattered the Catholic Church.;The restoration of the Western Roman Empire as a pagan state shattered the Catholic Church.;The restoration of the Western Roman Empire as a pagan state shattered the Catholic Church.;;The restoration of the Western Roman Empire as a pagan state shattered the Catholic Church.;;;;;;;;;x
LOADING_TIP_2;Since the Mehranid revolution, the steppe has been laiden with rumors of Sassanid claimants lurking in the wings.;Since the Mehranid revolution, the steppe has been laiden with rumors of Sassanid claimants lurking in the wings.;Since the Mehranid revolution, the steppe has been laiden with rumors of Sassanid claimants lurking in the wings.;;Since the Mehranid revolution, the steppe has been laiden with rumors of Sassanid claimants lurking in the wings.;;;;;;;;;x
LOADING_TIP_3;Neither the Emperor in Florence nor the Emperor in Ravenna will accept the Senate in Rome as legitimate.;Neither the Emperor in Florence nor the Emperor in Ravenna will accept the Senate in Rome as legitimate.;Neither the Emperor in Florence nor the Emperor in Ravenna will accept the Senate in Rome as legitimate.;;Neither the Emperor in Florence nor the Emperor in Ravenna will accept the Senate in Rome as legitimate.;;;;;;;;;x
LOADING_TIP_4;Aside from the Sibling Emperors, the Flavian dynasty's greatest legacy is the Mediterranean trade route that bears its name.;Aside from the Sibling Emperors, the Flavian dynasty's greatest legacy is the Mediterranean trade route that bears its name.;Aside from the Sibling Emperors, the Flavian dynasty's greatest legacy is the Mediterranean trade route that bears its name.;;Aside from the Sibling Emperors, the Flavian dynasty's greatest legacy is the Mediterranean trade route that bears its name.;;;;;;;;;x
LOADING_TIP_5;Islam failed to expand far beyond the Arabian Peninsula, but both the Caliph and the Sultan of Arabia are ambitious men with dreams of conquest.;Islam failed to expand far beyond the Arabian Peninsula, but both the Caliph and the Sultan of Arabia are ambitious men with dreams of conquest.;Islam failed to expand far beyond the Arabian Peninsula, but both the Caliph and the Sultan of Arabia are ambitious men with dreams of conquest.;;Islam failed to expand far beyond the Arabian Peninsula, but both the Caliph and the Sultan of Arabia are ambitious men with dreams of conquest.;;;;;;;;;x
LOADING_TIP_6;The Berbers of Tripolitania are the vestiges of the once-great kingdom of the Garamantes.;The Berbers of Tripolitania are the vestiges of the once-great kingdom of the Garamantes.;The Berbers of Tripolitania are the vestiges of the once-great kingdom of the Garamantes.;;The Berbers of Tripolitania are the vestiges of the once-great kingdom of the Garamantes.;;;;;;;;;x
